PlayerID,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,AST,STL,PTS,Data
1631767,LAC,PHO,L,29.0,5,6,0.833,2,2,1.0,0,0,0.0,1,2,12,2024-10-23
1631987,POR,GSW,L,29.88,3,8,0.375,2,4,0.5,3,4,0.75,4,2,11,2024-10-23
1631616,GSW,POR,W,14.48,3,4,0.75,0,1,0.0,2,2,1.0,3,2,8,2024-10-23
1631596,DET,IND,L,28.93,4,9,0.444,4,7,0.571,2,2,1.0,1,1,14,2024-10-23
1631511,IND,DET,W,34.97,6,18,0.333,1,9,0.111,2,2,1.0,4,3,15,2024-10-23
1631883,GSW,POR,W,14.88,5,11,0.455,3,8,0.375,2,2,1.0,2,0,15,2024-10-23
1631891,ORL,MIA,W,27.9,4,9,0.444,1,2,0.5,1,3,0.333,4,0,10,2024-10-23
1631531,BRK,ATL,L,32.02,4,10,0.4,1,6,0.167,5,6,0.833,0,1,14,2024-10-23
1631554,LAC,PHO,L,39.6,5,16,0.313,1,7,0.143,6,6,1.0,4,0,17,2024-10-23
1631781,NOP,CHI,W,18.52,3,5,0.6,0,1,0.0,2,2,1.0,3,2,8,2024-10-23
1631652,PHI,MIL,L,37.45,5,10,0.5,0,1,0.0,2,2,1.0,3,0,12,2024-10-23
1631737,PHI,MIL,L,30.42,8,18,0.444,1,6,0.167,4,6,0.667,1,0,21,2024-10-23
1631629,TOR,CLE,L,14.23,4,9,0.444,2,4,0.5,3,4,0.75,4,1,13,2024-10-23
1631783,POR,GSW,L,33.17,6,18,0.333,2,8,0.25,2,2,1.0,3,1,16,2024-10-23
1631639,NOP,CHI,W,27.9,4,9,0.444,3,6,0.5,2,2,1.0,1,0,13,2024-10-23
1631606,POR,GSW,L,30.95,5,12,0.417,0,2,0.0,0,0,0.0,2,2,10,2024-10-23
1631890,MIA,ORL,L,24.02,7,14,0.5,1,7,0.143,0,1,0.0,1,1,15,2024-10-23
1631515,PHI,MIL,L,25.05,4,8,0.5,0,1,0.0,2,2,1.0,0,0,10,2024-10-23
1631477,MEM,UTA,W,21.82,3,6,0.5,0,2,0.0,0,2,0.0,7,3,6,2024-10-23
1632027,GSW,POR,W,20.43,3,3,1.0,1,1,1.0,1,2,0.5,3,1,8,2024-10-23
1631796,MIA,ORL,L,30.23,4,8,0.5,1,2,0.5,0,0,0.0,2,2,9,2024-10-23
1632001,HOU,CHO,L,37.38,4,18,0.222,2,11,0.182,4,4,1.0,6,2,14,2024-10-23
1631706,ATL,BRK,W,25.78,3,10,0.3,2,4,0.5,4,5,0.8,1,2,12,2024-10-23
1631699,MIL,PHI,W,35.53,3,11,0.273,1,6,0.167,3,4,0.75,6,0,10,2024-10-23
1631918,GSW,POR,W,19.1,4,11,0.364,2,8,0.25,1,2,0.5,4,3,11,2024-10-23
1631738,MIA,ORL,L,16.02,2,2,1.0,1,1,1.0,2,2,1.0,2,0,7,2024-10-23
1631666,MIA,ORL,L,19.18,4,9,0.444,2,2,1.0,3,5,0.6,3,0,13,2024-10-23
1631779,TOR,CLE,L,18.72,3,7,0.429,1,4,0.25,3,3,1.0,4,1,10,2024-10-23
1631858,CHO,HOU,W,23.52,2,6,0.333,1,4,0.25,3,4,0.75,1,0,8,2024-10-23
1631490,CLE,TOR,W,18.55,4,5,0.8,3,4,0.75,0,0,0.0,0,0,11,2024-10-23
1631529,PHO,LAC,W,22.32,2,5,0.4,1,4,0.25,6,8,0.75,2,2,11,2024-10-23
1631924,MIA,ORL,L,25.52,1,5,0.2,0,2,0.0,7,10,0.7,1,0,9,2024-10-23
1631827,CHI,NOP,L,30.48,5,11,0.455,0,1,0.0,4,7,0.571,3,0,14,2024-10-23
1631654,ATL,BRK,W,19.52,3,5,0.6,0,0,0.0,0,0,0.0,1,1,6,2024-10-23
1631628,PHO,LAC,W,14.22,2,2,1.0,0,0,0.0,4,6,0.667,1,0,8,2024-10-23
1631535,HOU,CHO,L,21.83,5,11,0.455,1,2,0.5,2,4,0.5,0,0,13,2024-10-23
1631729,TOR,CLE,L,25.25,1,1,1.0,0,0,0.0,1,2,0.5,1,1,3,2024-10-23
1631552,GSW,POR,W,14.85,1,2,0.5,0,1,0.0,0,0,0.0,3,2,2,2024-10-23
1631933,IND,DET,W,18.75,2,4,0.5,1,2,0.5,2,2,1.0,0,2,7,2024-10-23
1631680,LAC,PHO,L,20.25,2,4,0.5,1,2,0.5,0,0,0.0,2,2,5,2024-10-23
1631610,ATL,BRK,W,36.85,4,9,0.444,0,3,0.0,3,8,0.375,4,3,11,2024-10-23
1631528,BRK,ATL,L,14.6,2,6,0.333,1,3,0.333,2,2,1.0,0,1,7,2024-10-23
1631644,MIL,PHI,W,20.9,4,9,0.444,1,5,0.2,0,0,0.0,1,0,9,2024-10-23
1631627,IND,DET,W,34.82,3,8,0.375,0,2,0.0,2,2,1.0,7,1,8,2024-10-23
1631509,PHI,MIL,L,25.52,4,8,0.5,1,4,0.25,1,3,0.333,3,3,10,2024-10-23
1631588,ORL,MIA,W,16.03,2,4,0.5,1,3,0.333,2,2,1.0,2,0,7,2024-10-23
1631819,MIL,PHI,W,34.45,3,6,0.5,2,5,0.4,3,3,1.0,0,0,11,2024-10-23
1631826,CLE,TOR,W,19.7,2,5,0.4,1,3,0.333,0,0,0.0,1,2,5,2024-10-23
1631567,GSW,POR,W,5.12,3,3,1.0,2,2,1.0,0,0,0.0,0,0,8,2024-10-23
1631677,MEM,UTA,W,15.23,1,1,1.0,1,1,1.0,2,2,1.0,1,0,5,2024-10-23
1631605,LAC,PHO,L,27.1,4,6,0.667,0,1,0.0,0,3,0.0,4,1,8,2024-10-23
1631659,CHI,NOP,L,34.78,4,13,0.308,0,5,0.0,2,2,1.0,6,1,10,2024-10-23
1631707,DET,IND,L,27.83,5,13,0.385,2,6,0.333,2,3,0.667,1,0,14,2024-10-23
1631847,NOP,CHI,W,6.72,2,3,0.667,2,3,0.667,0,0,0.0,1,1,6,2024-10-23
1631684,PHO,LAC,W,21.38,2,7,0.286,2,6,0.333,2,2,1.0,3,1,8,2024-10-23
1631556,BRK,ATL,L,15.42,3,4,0.75,0,0,0.0,1,4,0.25,0,1,7,2024-10-23
1631721,HOU,CHO,L,10.47,2,4,0.5,1,1,1.0,0,0,0.0,2,0,5,2024-10-23
1631823,POR,GSW,L,32.62,5,12,0.417,2,7,0.286,3,3,1.0,3,1,15,2024-10-23
1631845,HOU,CHO,L,33.13,2,7,0.286,2,5,0.4,2,3,0.667,1,0,8,2024-10-23
1631811,CHI,NOP,L,24.97,4,6,0.667,0,2,0.0,0,0,0.0,3,0,8,2024-10-23
1631991,BRK,ATL,L,29.55,3,10,0.3,2,7,0.286,0,0,0.0,1,1,8,2024-10-23
1631973,CHO,HOU,W,23.92,3,4,0.75,0,0,0.0,0,2,0.0,1,0,6,2024-10-23
1631657,POR,GSW,L,16.95,3,4,0.75,0,1,0.0,0,0,0.0,0,1,6,2024-10-23
1631690,BRK,ATL,L,15.85,3,6,0.5,2,3,0.667,1,2,0.5,1,0,9,2024-10-23
1631609,CHO,HOU,W,32.28,5,11,0.455,0,3,0.0,0,0,0.0,2,1,10,2024-10-23
1631888,TOR,CLE,L,16.37,2,4,0.5,2,4,0.5,0,0,0.0,1,0,6,2024-10-23
1631914,TOR,CLE,L,11.22,2,4,0.5,1,2,0.5,2,2,1.0,0,1,7,2024-10-23
1631816,DET,IND,L,35.78,6,13,0.462,1,6,0.167,0,0,0.0,1,0,13,2024-10-23
1631475,CHO,HOU,W,10.73,2,4,0.5,1,2,0.5,1,1,1.0,1,1,6,2024-10-23
1631671,CHO,HOU,W,24.82,3,6,0.5,2,4,0.5,0,0,0.0,1,1,8,2024-10-23
1631534,MEM,UTA,W,26.03,3,11,0.273,1,6,0.167,4,4,1.0,1,1,11,2024-10-23
1631561,BRK,ATL,L,24.2,3,4,0.75,0,0,0.0,0,0,0.0,8,0,6,2024-10-23
1632017,PHI,MIL,L,9.0,1,2,0.5,1,1,1.0,4,4,1.0,0,0,7,2024-10-23
1631670,LAC,PHO,L,13.0,3,5,0.6,0,0,0.0,0,0,0.0,0,0,6,2024-10-23
1631571,ATL,BRK,W,27.83,2,6,0.333,2,6,0.333,2,2,1.0,2,0,8,2024-10-23
1631498,CHO,HOU,W,26.33,2,5,0.4,2,3,0.667,1,3,0.333,1,0,7,2024-10-23
1632012,CHI,NOP,L,13.65,2,4,0.5,1,3,0.333,0,0,0.0,4,0,5,2024-10-23
1631643,PHO,LAC,W,12.23,1,1,1.0,0,0,0.0,0,0,0.0,0,0,2,2024-10-23
1631723,PHO,LAC,W,12.55,2,5,0.4,0,2,0.0,1,2,0.5,2,1,5,2024-10-23
1631679,UTA,MEM,L,12.32,1,2,0.5,0,0,0.0,1,2,0.5,0,2,3,2024-10-23
1631985,DET,IND,L,15.3,2,6,0.333,0,3,0.0,2,2,1.0,0,2,6,2024-10-23
1631587,GSW,POR,W,14.08,0,2,0.0,0,0,0.0,2,2,1.0,2,1,2,2024-10-23
1631480,CHO,HOU,W,14.98,1,4,0.25,0,0,0.0,0,0,0.0,0,1,2,2024-10-23
1631536,HOU,CHO,L,12.88,1,3,0.333,0,1,0.0,0,0,0.0,2,2,2,2024-10-23
1631724,IND,DET,W,4.63,2,4,0.5,0,1,0.0,2,2,1.0,0,0,6,2024-10-23
1631665,UTA,MEM,L,18.32,5,12,0.417,0,3,0.0,1,1,1.0,0,1,11,2024-10-23
1631566,CLE,TOR,W,16.07,2,4,0.5,1,3,0.333,2,2,1.0,1,0,7,2024-10-23
1631806,TOR,CLE,L,15.42,3,6,0.5,0,0,0.0,0,0,0.0,1,0,6,2024-10-23
1631539,MIL,PHI,W,2.22,2,3,0.667,1,2,0.5,0,0,0.0,0,0,5,2024-10-23
1631836,CHI,NOP,L,24.07,2,7,0.286,1,4,0.25,1,2,0.5,3,0,6,2024-10-23
1631710,PHI,MIL,L,3.87,2,3,0.667,0,1,0.0,0,0,0.0,0,0,4,2024-10-23
1631964,BRK,ATL,L,34.33,5,16,0.313,2,6,0.333,1,2,0.5,7,1,13,2024-10-23
1631568,ORL,MIA,W,11.45,1,4,0.25,1,2,0.5,0,2,0.0,0,1,3,2024-10-23
1631504,ATL,BRK,W,11.32,1,2,0.5,0,1,0.0,1,1,1.0,2,0,3,2024-10-23
1631775,NOP,CHI,W,12.8,1,3,0.333,1,3,0.333,0,0,0.0,3,1,3,2024-10-23
1631648,MEM,UTA,W,16.15,2,4,0.5,1,2,0.5,0,0,0.0,0,0,5,2024-10-23
1631582,PHO,LAC,W,24.22,2,5,0.4,1,3,0.333,0,0,0.0,1,1,5,2024-10-23
1631650,CLE,TOR,W,19.03,1,2,0.5,0,0,0.0,1,2,0.5,2,0,3,2024-10-23
1631868,GSW,POR,W,5.12,1,1,1.0,0,0,0.0,1,2,0.5,1,0,3,2024-10-23
1631960,DET,IND,L,16.98,1,2,0.5,0,1,0.0,0,0,0.0,2,1,2,2024-10-23
1631573,MIA,ORL,L,25.82,1,8,0.125,0,2,0.0,1,2,0.5,5,1,3,2024-10-23
1631942,CHI,NOP,L,1.77,1,1,1.0,1,1,1.0,0,0,0.0,0,0,3,2024-10-23
1631785,UTA,MEM,L,31.07,3,18,0.167,1,6,0.167,5,9,0.556,7,0,12,2024-10-23
1631712,MIA,ORL,L,6.25,1,1,1.0,0,0,0.0,0,0,0.0,0,1,2,2024-10-23
1631599,DET,IND,L,3.12,1,1,1.0,0,0,0.0,0,0,0.0,1,0,2,2024-10-23
1631526,TOR,CLE,L,8.5,1,2,0.5,0,1,0.0,0,0,0.0,2,1,2,2024-10-23
1631911,TOR,CLE,L,25.85,3,14,0.214,0,2,0.0,3,4,0.75,5,0,9,2024-10-23
1631902,IND,DET,W,16.03,1,2,0.5,0,1,0.0,0,0,0.0,2,1,2,2024-10-23
1631830,POR,GSW,L,3.27,1,2,0.5,1,1,1.0,0,0,0.0,1,0,3,2024-10-23
1631913,PHI,MIL,L,2.65,1,1,1.0,0,0,0.0,0,0,0.0,0,0,2,2024-10-23
1631997,TOR,CLE,L,4.5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,2,2024-10-23
1631656,NOP,CHI,W,32.68,1,6,0.167,0,3,0.0,0,0,0.0,2,2,2,2024-10-23
1631930,PHI,MIL,L,15.07,1,3,0.333,0,0,0.0,1,2,0.5,0,0,3,2024-10-23
1631857,CHI,NOP,L,11.53,1,3,0.333,0,2,0.0,0,0,0.0,1,1,2,2024-10-23
1631703,CLE,TOR,W,8.5,2,5,0.4,0,2,0.0,0,0,0.0,1,0,4,2024-10-23
1631664,POR,GSW,L,12.58,1,2,0.5,0,0,0.0,0,0,0.0,0,1,2,2024-10-23
1632015,GSW,POR,W,19.52,3,9,0.333,0,2,0.0,4,6,0.667,1,0,10,2024-10-23
1631495,CLE,TOR,W,6.67,1,1,1.0,1,1,1.0,1,2,0.5,1,0,4,2024-10-23
1631750,MIL,PHI,W,4.07,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0,2024-10-23
1631829,TOR,CLE,L,24.55,4,10,0.4,0,3,0.0,0,0,0.0,3,2,8,2024-10-23
1631844,POR,GSW,L,8.0,1,4,0.25,1,2,0.5,0,0,0.0,1,0,3,2024-10-23
1631992,ORL,MIA,W,25.15,0,5,0.0,0,5,0.0,3,3,1.0,2,1,3,2024-10-23
1631943,IND,DET,W,6.35,1,2,0.5,1,2,0.5,0,0,0.0,1,0,3,2024-10-23
1631882,HOU,CHO,L,8.02,2,4,0.5,0,1,0.0,0,0,0.0,0,0,4,2024-10-23
1631963,MEM,UTA,W,23.45,2,6,0.333,2,5,0.4,0,2,0.0,1,1,6,2024-10-23
1631906,LAC,PHO,L,23.62,0,2,0.0,0,2,0.0,2,2,1.0,2,1,2,2024-10-23
1631936,NOP,CHI,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1631928,MIA,ORL,L,6.25,0,1,0.0,0,0,0.0,0,0,0.0,1,0,0,2024-10-23
1631745,MIA,ORL,L,19.67,2,7,0.286,2,5,0.4,0,0,0.0,1,0,6,2024-10-23
1631862,CLE,TOR,W,8.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,2,2024-10-23
1631995,MIL,PHI,W,13.15,1,3,0.333,0,1,0.0,0,0,0.0,0,1,2,2024-10-23
1631789,MEM,UTA,W,14.73,2,4,0.5,0,0,0.0,1,5,0.2,0,0,5,2024-10-23
1631778,IND,DET,W,6.65,0,0,0.0,0,0,0.0,2,2,1.0,0,0,2,2024-10-23
1632023,CHI,NOP,L,1.77,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,2024-10-23
1631944,HOU,CHO,L,15.55,2,5,0.4,0,1,0.0,0,0,0.0,3,0,4,2024-10-23
1631474,CLE,TOR,W,22.7,3,12,0.25,1,6,0.167,0,0,0.0,6,0,7,2024-10-23
1631597,PHI,MIL,L,2.65,0,1,0.0,0,1,0.0,0,0,0.0,1,0,0,2024-10-23
1631692,UTA,MEM,L,19.47,0,0,0.0,0,0,0.0,2,2,1.0,0,0,2,2024-10-23
1631837,TOR,CLE,L,26.15,2,6,0.333,0,0,0.0,2,4,0.5,2,0,6,2024-10-23
1631532,IND,DET,W,6.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1631773,ATL,BRK,W,19.0,2,8,0.25,1,4,0.25,2,4,0.5,0,0,7,2024-10-23
1631923,UTA,MEM,L,16.07,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,2024-10-23
1631726,POR,GSW,L,7.28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1632005,CHO,HOU,W,16.55,2,9,0.222,1,3,0.333,0,0,0.0,1,1,5,2024-10-23
1631817,MIL,PHI,W,0.62,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1631885,PHI,MIL,L,2.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1631851,MIL,PHI,W,1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1631840,ORL,MIA,W,5.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1631585,GSW,POR,W,24.93,0,5,0.0,0,4,0.0,0,0,0.0,4,1,0,2024-10-23
1631909,PHO,LAC,W,8.73,1,5,0.2,0,2,0.0,0,0,0.0,1,0,2,2024-10-23
1631975,MIL,PHI,W,1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
1631580,MEM,UTA,W,13.68,1,5,0.2,0,2,0.0,0,0,0.0,1,0,2,2024-10-23
1631795,MIL,PHI,W,1.1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2024-10-23
