season,player_id,first_name,last_name,player_name,position,height_wo_shoes,wingspan,standing reach,body fat pct,standing vertical leap,maximum vertical leap,lane agility time,three quarter sprint,bench press
2020,1630235,Trent,Forrest,Trent Forrest,PG,6'3.50'',79.5,102.5,5.65,28,34.5,11.04,3.18,NULL
2020,1630182,Josh,Green,Josh Green,SG-SF,6'4.50'',81.75,101.5,6.8,30.5,39.5,10.64,3.12,NULL
2020,1630204,Ashton,Hagans,Ashton Hagans,PG,6'1.50'',80,99.5,4.1,29.5,36.5,10.82,3.13,NULL
2020,1630221,Joshua,Hall,Joshua Hall,SF,6'6.00'',83,104.5,7.6,31.5,37.5,12.16,3.38,NULL
2020,1630223,Jalen,Harris,Jalen Harris,SG,6'2.75'',79,97.5,4.4,37.5,42.5,10.59,3.11,NULL
2020,1630210,Markus,Howard,Markus Howard,PG,5'9.50'',72.25,91.5,9.91,30.5,35.5,11.21,3.11,NULL
2020,1630190,Elijah,Hughes,Elijah Hughes,SF-SG,6'4.75'',79.5,101.5,10.2,NULL,NULL,NULL,NULL,NULL
2020,1630198,Isaiah,Joe,Isaiah Joe,SG,6'3.00'',79.5,101,4.7,NULL,NULL,NULL,NULL,NULL
2020,1630222,Mason,Jones,Mason Jones,SG,6'3.75'',79,102.5,8.9,24,31,10.6,3.33,NULL
2020,1630233,Nathan,Knight,Nathan Knight,PF-C,6'8.00'',86,109.5,8.2,23,31.5,11.56,3.31,NULL
2020,1630177,Theo,Maledon,Theo Maledon,PG,6'4.00'',80.75,100.5,2.8,NULL,NULL,NULL,NULL,NULL
2020,1630211,Karim,Mane,Karim Mane,PG-SG,6'5.00'',83,102,3.73,31,36,11.52,3.04,NULL
2020,1630230,Naji,Marshall,Naji Marshall,SF,6'5.75'',84.75,102.5,8.7,28.5,35,11.77,3.37,NULL
2020,1630231,Kenyon,Martin Jr.,Kenyon Martin Jr.,SF-PF,6'6.00'',79.25,102,5.9,31.5,38.5,11.93,3.16,NULL
2020,1630219,Skylar,Mays,Skylar Mays,SG,6'3.00'',78,99,7.4,29,37.5,10.65,3.3,NULL
2020,1630192,Zeke,Nnaji,Zeke Nnaji,PF-C,6'9.25'',86,105.5,5.9,33,38,10.94,3.2,NULL
2020,1629670,Jordan,Nwora,Jordan Nwora,SF-PF,6'5.75'',82.25,104,11.68,29,35,11.29,3.43,NULL
2020,1629617,Reggie,Perry,Reggie Perry,PF-C,6'8.25'',84.25,106.5,8.4,30,33.5,11.26,3.25,NULL
2020,1629619,Myles,Powell,Myles Powell,PG-SG,6'0.50'',79,99,15.8,NULL,NULL,NULL,NULL,NULL
2020,1630193,Immanuel,Quickley,Immanuel Quickley,SG,6'2.00'',80.25,99,8.2,29.5,35.5,11.21,3.17,NULL
2020,1630186,Jahmi'us,Ramsey,Jahmi'us Ramsey,SG,6'2.50'',78,100.5,3.4,NULL,NULL,NULL,NULL,NULL
2020,1630194,Paul,Reed Jr.,Paul Reed Jr.,PF,6'8.50'',86,109.5,6.83,26.5,37.5,12.29,3.45,NULL
2020,1630208,Nick,Richards,Nick Richards,C,6'10.50'',86.25,110,8.5,30,34,11.42,3.25,NULL
2020,1630203,Grant,Riller,Grant Riller,PG-SG,6'0.25'',77.25,96.5,5.4,32.5,39.5,11.17,3.07,NULL
2020,1630206,Jayden,Scrubb,Jayden Scrubb,SG-SF,6'5.00'',81.5,104.5,3.7,NULL,NULL,NULL,NULL,NULL
2020,1630188,Jalen,Smith,Jalen Smith,PF-C,6'9.25'',86.25,110,3.7,NULL,NULL,NULL,NULL,NULL
2020,1630199,Cassius,Stanley,Cassius Stanley,SG,6'5.00'',79,99.5,5.8,34.5,44,11.4,3.09,NULL
2020,1630205,Lamar,Stevens,Lamar Stevens,SF-PF,6'5.75'',81,101,6.8,35,41,10.35,3.2,NULL
2020,1630191,Isaiah,Stewart,Isaiah Stewart,C,6'7.25'',88.75,108.5,7.5,NULL,NULL,NULL,NULL,NULL
2020,1630179,Tyrell,Terry,Tyrell Terry,PG,6'1.50'',73.75,96,7.6,30,34,10.78,3.28,NULL
2020,1629681,Killian,Tillie,Killian Tillie,PF,6'8.75'',80,106,12.43,27.5,32,11.6,3.4,NULL
2020,1630214,Xavier,Tillman Sr.,Xavier Tillman Sr.,PF-C,6'7.50'',86,106,8.5,26,32.5,11.8,3.49,NULL
2020,1629700,Kaleb,Wesson,Kaleb Wesson,C,6'9.25'',87.5,111.5,12.5,21.5,27,11.73,3.6,NULL
2020,1630232,Kahlil,Whitney,Kahlil Whitney,SF,6'5.50'',84.25,105.5,5.3,29,39,11.17,3.28,NULL
2020,1630216,Cassius,Winston,Cassius Winston,PG,6'0.50'',78,97,9,24,28,11.15,3.61,NULL
2020,1630218,Robert,Woodard II,Robert Woodard II,SF,6'5.50'',86,105.5,4.5,32,38,11.1,3.18,NULL
2022,1630534,Ochai,Agbaji,Ochai Agbaji,SG,6' 4.50'',82.25,104,5.4,32,39,10.77,3.13,NULL
2022,1631116,Patrick,Baldwin Jr.,Patrick Baldwin Jr.,SF,6' 9.25'',85.75,110.5,8.9,23.5,26.5,12.25,3.45,NULL
2022,1631094,Paolo,Banchero,Paolo Banchero,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631230,Dominick,Barlow,Dominick Barlow,PF,6' 8.75'',87,108.5,5.9,28.5,34,11.29,3.33,NULL
2022,1630699,MarJon,Beauchamp,MarJon Beauchamp,SG,6' 5.25'',84.75,106,5.3,NULL,NULL,NULL,NULL,NULL
2022,1630656,Hugo,Besson,Hugo Besson,SG,6' 4.50'',77.5,102,8.8,24.5,31.5,11.36,3.4,NULL
2022,1631103,Malaki,Branham,Malaki Branham,SG,6' 4.00'',82,102.5,6.1,29,35,11.38,3.17,NULL
2022,1631128,Christian,Braun,Christian Braun,SG,6' 5.50'',78.5,99.5,6.2,33.5,40,11,3.16,NULL
2022,1631112,Kendall,Brown,Kendall Brown,SF,6' 6.25'',83,103,4.9,31.5,41,11.57,3.29,NULL
2022,1631219,John,Butler Jr.,John Butler Jr.,PF,6' 11.75'',86.25,112,4.7,26.5,28.5,11.16,3.33,NULL
2022,1630577,Julian,Champagnie,Julian Champagnie,SF,6' 6.25'',82,107,7.1,28.5,34.5,11.39,3.14,NULL
2022,1631113,Kennedy,Chandler,Kennedy Chandler,PG,5' 11.50'',77.25,97,4.4,31,41.5,10.73,NULL,NULL
2022,1631108,Max,Christie,Max Christie,SG,6' 4.25'',80.75,102.5,4.8,32,37.5,10.82,3.07,NULL
2022,1630594,Kofi,Cockburn,Kofi Cockburn,C,6' 11.00'',88.25,110.5,8.2,29.5,32.5,12.11,3.33,NULL
2022,1630700,Dyson,Daniels,Dyson Daniels,SG,6' 6.00'',82.5,105,4.9,29,34,10.81,3.22,NULL
2022,1631098,Johnny,Davis,Johnny Davis,PG,6' 4.25'',80.5,103.5,6.7,NULL,NULL,NULL,NULL,NULL
2022,1631120,JD,Davison,JD Davison,PG,6' 0.50'',78.5,99.5,7.8,30,37,11.38,3.26,NULL
2022,1630620,Darius,Days,Darius Days,SF-PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631217,Moussa,Diabate,Moussa Diabate,C,6' 9.25'',86.5,109.5,2.7,29,36.5,11.16,3.26,NULL
2022,1631172,Ousmane,Dieng,Ousmane Dieng,SF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631215,Khalifa,Diop,Khalifa Diop,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631105,Jalen,Duren,Jalen Duren,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631106,Tari,Eason,Tari Eason,PF,6' 6.75'',86,107.5,5.9,NULL,NULL,NULL,NULL,NULL
2022,1631165,Keon,Ellis,Keon Ellis,SG,6' 3.50'',80.5,102,3.8,28,35.5,10.87,3.18,NULL
2022,1630701,Michael,Foster Jr.,Michael Foster Jr.,C,6' 7.75'',84.25,109.5,6.2,28,32.5,11.49,3.22,NULL
2022,1631221,Collin,Gillespie,Collin Gillespie,PG,6' 1.50'',76,98,8.6,26.5,33,10.95,3.21,NULL
2022,1631100,AJ,Griffin,AJ Griffin,SF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1630702,Jaden,Hardy,Jaden Hardy,SG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631199,Ron,Harper Jr.,Ron Harper Jr.,SF,6' 4.00'',85.25,105.5,14.3,26,30.5,11.41,3.4,NULL
2022,1631096,Chet,Holmgren,Chet Holmgren,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
